Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
Germany	Hydrorun-of-the-river	4	scenario1	1	0.431521725
Germany	Hydrorun-of-the-river	5	scenario1	1	0.435448644
Germany	Hydrorun-of-the-river	6	scenario1	1	0.435943869
Germany	Hydrorun-of-the-river	7	scenario1	1	0.43728917
Germany	Hydrorun-of-the-river	8	scenario1	1	0.441147212
Germany	Hydrorun-of-the-river	9	scenario1	1	0.441288455
Germany	Hydrorun-of-the-river	10	scenario1	1	0.440201228
Germany	Hydrorun-of-the-river	11	scenario1	1	0.443513477
Germany	Hydrorun-of-the-river	12	scenario1	1	0.449105675
Germany	Hydrorun-of-the-river	13	scenario1	1	0.44845177
Germany	Hydrorun-of-the-river	14	scenario1	1	0.449147525
Germany	Hydrorun-of-the-river	15	scenario1	1	0.454709208
Germany	Hydrorun-of-the-river	16	scenario1	1	0.460479269
Germany	Hydrorun-of-the-river	17	scenario1	1	0.462539507
Germany	Hydrorun-of-the-river	18	scenario1	1	0.464591898
Germany	Hydrorun-of-the-river	19	scenario1	1	0.465129844
Germany	Hydrorun-of-the-river	20	scenario1	1	0.466850051
Germany	Hydrorun-of-the-river	21	scenario1	1	0.466638185
Germany	Hydrorun-of-the-river	22	scenario1	1	0.462937953
Germany	Hydrorun-of-the-river	23	scenario1	1	0.457967401
Germany	Hydrorun-of-the-river	24	scenario1	1	0.452167696
Denmark	Hydrorun-of-the-river	1	scenario1	1	0.506
Denmark	Hydrorun-of-the-river	2	scenario1	1	0.51
Denmark	Hydrorun-of-the-river	3	scenario1	1	0.506
Denmark	Hydrorun-of-the-river	4	scenario1	1	0.506
Denmark	Hydrorun-of-the-river	5	scenario1	1	0.504
Denmark	Hydrorun-of-the-river	6	scenario1	1	0.506
Denmark	Hydrorun-of-the-river	7	scenario1	1	0.506
Denmark	Hydrorun-of-the-river	8	scenario1	1	0.514
Denmark	Hydrorun-of-the-river	9	scenario1	1	0.51
Denmark	Hydrorun-of-the-river	10	scenario1	1	0.51
Denmark	Hydrorun-of-the-river	11	scenario1	1	0.51
Denmark	Hydrorun-of-the-river	12	scenario1	1	0.504
Denmark	Hydrorun-of-the-river	13	scenario1	1	0.504
Denmark	Hydrorun-of-the-river	14	scenario1	1	0.504
Denmark	Hydrorun-of-the-river	15	scenario1	1	0.506
Denmark	Hydrorun-of-the-river	16	scenario1	1	0.504
Denmark	Hydrorun-of-the-river	17	scenario1	1	0.502
Denmark	Hydrorun-of-the-river	18	scenario1	1	0.472
Denmark	Hydrorun-of-the-river	19	scenario1	1	0.474
Denmark	Hydrorun-of-the-river	20	scenario1	1	0.472
Denmark	Hydrorun-of-the-river	21	scenario1	1	0.47
Denmark	Hydrorun-of-the-river	22	scenario1	1	0.468
Denmark	Hydrorun-of-the-river	23	scenario1	1	0.47
Denmark	Hydrorun-of-the-river	24	scenario1	1	0.474
France	Hydrorun-of-the-river	1	scenario1	1	0.713037055
France	Hydrorun-of-the-river	2	scenario1	1	0.778283885
France	Hydrorun-of-the-river	3	scenario1	1	0.789363536
France	Hydrorun-of-the-river	4	scenario1	1	0.77717592
France	Hydrorun-of-the-river	5	scenario1	1	0.757601871
France	Hydrorun-of-the-river	6	scenario1	1	0.753170011
France	Hydrorun-of-the-river	7	scenario1	1	0.710574911
France	Hydrorun-of-the-river	8	scenario1	1	0.685953465
France	Hydrorun-of-the-river	9	scenario1	1	0.689277361
France	Hydrorun-of-the-river	10	scenario1	1	0.623661209
France	Hydrorun-of-the-river	11	scenario1	1	0.619721778
France	Hydrorun-of-the-river	12	scenario1	1	0.642127293
France	Hydrorun-of-the-river	13	scenario1	1	0.636833682
France	Hydrorun-of-the-river	14	scenario1	1	0.644712545
France	Hydrorun-of-the-river	15	scenario1	1	0.629077927
France	Hydrorun-of-the-river	16	scenario1	1	0.637695433
France	Hydrorun-of-the-river	17	scenario1	1	0.639295827
France	Hydrorun-of-the-river	18	scenario1	1	0.594238582
France	Hydrorun-of-the-river	19	scenario1	1	0.555213591
France	Hydrorun-of-the-river	20	scenario1	1	0.54462637
France	Hydrorun-of-the-river	21	scenario1	1	0.531700111
France	Hydrorun-of-the-river	22	scenario1	1	0.543887726
France	Hydrorun-of-the-river	23	scenario1	1	0.559029915
France	Hydrorun-of-the-river	24	scenario1	1	0.572817924
Germany	Solar	25	scenario1	1	0.229
Germany	Solar	26	scenario1	1	0.16
Germany	Solar	27	scenario1	1	0.089
Germany	Solar	28	scenario1	1	0.024
