Node,Period,Node.1,Period.1,MaxBiomethaneAvailability_[TJ].1,Available_Biomethane_[TJ],col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
Estonia,3,Estonia,3,4858.0,4366.40872044831,,,,,,,,,,,,,,,,,,
Spain,3,Spain,3,196141.75,132780.86653694382,,,,,,,,,,,,,,,,,,
Finland,3,Finland,3,49187.25,14951.753735026126,,,,,,,,,,,,,,,,,,
France,3,France,3,264153.75,151990.8521997945,,,,,,,,,,,,,,,,,,
GreatBrit.,3,GreatBrit.,3,155759.625,235318.3292042847,,,,,,,,,,,,,,,,,,
Greece,3,Greece,3,27326.25,20759.495289012062,,,,,,,,,,,,,,,,,,
Croatia,3,Croatia,3,7894.25,7572.37548366036,,,,,,,,,,,,,,,,,,
Hungary,3,Hungary,3,42507.5,52942.0910945686,,,,,,,,,,,,,,,,,,
Ireland,3,Ireland,3,26719.0,9188.88096434435,,,,,,,,,,,,,,,,,,
Italy,3,Italy,3,187640.25,191440.3469780228,,,,,,,,,,,,,,,,,,
Lithuania,3,Lithuania,3,12448.625,19149.13621699988,,,,,,,,,,,,,,,,,,
Luxemb.,3,Luxemb.,3,2125.375,12565.103247765319,,,,,,,,,,,,,,,,,,
Latvia,3,Latvia,3,11841.375,8006.311935889599,,,,,,,,,,,,,,,,,,
Macedonia,3,Macedonia,3,17003.0,4020.682914918889,,,,,,,,,,,,,,,,,,
Netherlands,3,Netherlands,3,45847.375,63117.47065073721,,,,,,,,,,,,,,,,,,
NO1,3,NO1,3,3461.325,0.0,,,,,,,,,,,,,,,,,,
NO2,3,NO2,3,3461.325,0.0,,,,,,,,,,,,,,,,,,
NO3,3,NO3,3,3461.325,0.0,,,,,,,,,,,,,,,,,,
NO4,3,NO4,3,3461.325,0.0,,,,,,,,,,,,,,,,,,
NO5,3,NO5,3,3461.325,0.0,,,,,,,,,,,,,,,,,,
Poland,3,Poland,3,136024.0,93536.66180835366,,,,,,,,,,,,,,,,,,
Portugal,3,Portugal,3,32184.25,13809.13636293809,,,,,,,,,,,,,,,,,,
Romania,3,Romania,3,88051.25,18327.361377579928,,,,,,,,,,,,,,,,,,
Serbia,3,Serbia,3,7894.25,13287.110307718898,,,,,,,,,,,,,,,,,,
Sweden,3,Sweden,3,84711.375,29717.271287296648,,,,,,,,,,,,,,,,,,
Slovenia,3,Slovenia,3,4858.0,10172.306351832709,,,,,,,,,,,,,,,,,,
Slovakia,3,Slovakia,3,12145.0,23195.317045647294,,,,,,,,,,,,,,,,,,
Austria,4,Austria,4,55867.0,44747.256189754975,,,,,,,,,,,,,,,,,,
BosniaH,4,BosniaH,4,10930.5,9476.95319681486,,,,,,,,,,,,,,,,,,
Belgium,4,Belgium,4,25504.5,154039.36929646827,,,,,,,,,,,,,,,,,,
Bulgaria,4,Bulgaria,4,51009.0,23480.36577876712,,,,,,,,,,,,,,,,,,
Switzerland,4,Switzerland,4,19432.0,43159.93336429454,,,,,,,,,,,,,,,,,,
CzechR,4,CzechR,4,51009.0,105579.66543527506,,,,,,,,,,,,,,,,,,
Germany,4,Germany,4,366779.0,496867.97501383227,,,,,,,,,,,,,,,,,,
Denmark,4,Denmark,4,40078.5,32043.094883496913,,,,,,,,,,,,,,,,,,
Estonia,4,Estonia,4,7287.0,6479.998610206951,,,,,,,,,,,,,,,,,,
Spain,4,Spain,4,292694.5,203650.39808184377,,,,,,,,,,,,,,,,,,
Finland,4,Finland,4,81371.5,21071.833194670133,,,,,,,,,,,,,,,,,,
France,4,France,4,358277.5,221625.9880215115,,,,,,,,,,,,,,,,,,
GreatBrit.,4,GreatBrit.,4,200999.75,333268.6819306621,,,,,,,,,,,,,,,,,,
Greece,4,Greece,4,42507.5,34239.408919315116,,,,,,,,,,,,,,,,,,
