FromNode,ToNode,LineType
Nordsøen,Borssele,HVDC_Cable
Nordsøen,Denmark,HVDC_Cable
Nordsøen,DoggerBank,HVDC_Cable
Nordsøen,EastAnglia,HVDC_Cable
Nordsøen,EnergyhubEU,HVDC_Cable
Nordsøen,FirthofForth,HVDC_Cable
Nordsøen,HelgoländerBucht,HVDC_Cable
Nordsøen,HollandseeKust,HVDC_Cable
Nordsøen,Hornsea,HVDC_Cable
Nordsøen,MorayFirth,HVDC_Cable
Nordsøen,Norfolk,HVDC_Cable
Nordsøen,OuterDowsing,HVDC_Cable
Nordsøen,SørligeNordsjøI,HVDC_Cable
Nordsøen,SørligeNordsjøII,HVDC_Cable
Nordsøen,UtsiraNord,HVDC_Cable
Norfolk,Borssele,HVDC_Cable
Norfolk,DoggerBank,HVDC_Cable
Norfolk,EastAnglia,HVDC_Cable
Norfolk,EnergyhubEU,HVDC_Cable
Norfolk,FirthofForth,HVDC_Cable
Norfolk,GreatBrit.,HVDC_Cable
Norfolk,HelgoländerBucht,HVDC_Cable
Norfolk,HollandseeKust,HVDC_Cable
Norfolk,Hornsea,HVDC_Cable
Norfolk,MorayFirth,HVDC_Cable
Norfolk,Nordsøen,HVDC_Cable
Norfolk,OuterDowsing,HVDC_Cable
Norfolk,SørligeNordsjøI,HVDC_Cable
Norfolk,SørligeNordsjøII,HVDC_Cable
Norfolk,UtsiraNord,HVDC_Cable
OuterDowsing,Borssele,HVDC_Cable
OuterDowsing,DoggerBank,HVDC_Cable
OuterDowsing,EastAnglia,HVDC_Cable
OuterDowsing,EnergyhubEU,HVDC_Cable
OuterDowsing,FirthofForth,HVDC_Cable
OuterDowsing,GreatBrit.,HVDC_Cable
OuterDowsing,HelgoländerBucht,HVDC_Cable
OuterDowsing,HollandseeKust,HVDC_Cable
OuterDowsing,Hornsea,HVDC_Cable
OuterDowsing,MorayFirth,HVDC_Cable
OuterDowsing,Nordsøen,HVDC_Cable
OuterDowsing,Norfolk,HVDC_Cable
OuterDowsing,SørligeNordsjøI,HVDC_Cable
OuterDowsing,SørligeNordsjøII,HVDC_Cable
OuterDowsing,UtsiraNord,HVDC_Cable
Poland,CzechR,HVAC_OverheadLine
Poland,Denmark,HVDC_Cable
Poland,Germany,HVAC_OverheadLine
Poland,Hungary,HVAC_OverheadLine
Poland,Lithuania,HVAC_OverheadLine
Poland,Slovakia,HVAC_OverheadLine
Poland,Sweden,HVDC_Cable
Portugal,Spain,HVAC_OverheadLine
Romania,Bulgaria,HVAC_OverheadLine
Romania,Hungary,HVAC_OverheadLine
Romania,Serbia,HVAC_OverheadLine
Serbia,BosniaH,HVAC_OverheadLine
Serbia,Bulgaria,HVAC_OverheadLine
Serbia,Croatia,HVAC_OverheadLine
Serbia,Hungary,HVAC_OverheadLine
Serbia,Macedonia,HVAC_OverheadLine
Serbia,Romania,HVAC_OverheadLine
Sleipner,NO5,HVDC_Cable
Slovakia,Austria,HVAC_OverheadLine
Slovakia,CzechR,HVAC_OverheadLine
Slovakia,Hungary,HVAC_OverheadLine
Slovakia,Poland,HVAC_OverheadLine
Slovenia,Austria,HVAC_OverheadLine
Slovenia,Croatia,HVAC_OverheadLine
Slovenia,Hungary,HVAC_OverheadLine
Slovenia,Italy,HVAC_OverheadLine
SørligeNordsjøI,Borssele,HVDC_Cable
SørligeNordsjøI,DoggerBank,HVDC_Cable
SørligeNordsjøI,EastAnglia,HVDC_Cable
SørligeNordsjøI,EnergyhubEU,HVDC_Cable
SørligeNordsjøI,FirthofForth,HVDC_Cable
SørligeNordsjøI,HelgoländerBucht,HVDC_Cable
SørligeNordsjøI,HollandseeKust,HVDC_Cable
SørligeNordsjøI,Hornsea,HVDC_Cable
SørligeNordsjøI,MorayFirth,HVDC_Cable
SørligeNordsjøI,NO2,HVDC_Cable
SørligeNordsjøI,Nordsøen,HVDC_Cable
SørligeNordsjøI,Norfolk,HVDC_Cable
SørligeNordsjøI,OuterDowsing,HVDC_Cable
SørligeNordsjøI,SørligeNordsjøII,HVDC_Cable
SørligeNordsjøI,UtsiraNord,HVDC_Cable
