Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
Denmark	Wind onshore	32	scenario1	1	0.2617
Denmark	Wind onshore	33	scenario1	1	0.2865
Denmark	Wind onshore	34	scenario1	1	0.2857
Denmark	Wind onshore	35	scenario1	1	0.2666
Denmark	Wind onshore	36	scenario1	1	0.2359
Denmark	Wind onshore	37	scenario1	1	0.2142
Denmark	Wind onshore	38	scenario1	1	0.2002
Denmark	Wind onshore	39	scenario1	1	0.19
Denmark	Wind onshore	40	scenario1	1	0.1719
Denmark	Wind onshore	41	scenario1	1	0.1646
Denmark	Wind onshore	42	scenario1	1	0.1668
Denmark	Wind onshore	43	scenario1	1	0.1614
Denmark	Wind onshore	44	scenario1	1	0.1494
Denmark	Wind onshore	45	scenario1	1	0.1309
Denmark	Wind onshore	46	scenario1	1	0.1142
Denmark	Wind onshore	47	scenario1	1	0.1035
Denmark	Wind onshore	48	scenario1	1	0.1006
France	Wind onshore	25	scenario1	1	0.2548
France	Wind onshore	26	scenario1	1	0.2524
France	Wind onshore	27	scenario1	1	0.2456
France	Wind onshore	28	scenario1	1	0.215
France	Wind onshore	29	scenario1	1	0.2216
France	Wind onshore	30	scenario1	1	0.2423
France	Wind onshore	31	scenario1	1	0.2354
France	Wind onshore	32	scenario1	1	0.2263
France	Wind onshore	33	scenario1	1	0.2243
France	Wind onshore	34	scenario1	1	0.2228
France	Wind onshore	35	scenario1	1	0.214
France	Wind onshore	36	scenario1	1	0.2042
France	Wind onshore	37	scenario1	1	0.2004
France	Wind onshore	38	scenario1	1	0.1979
France	Wind onshore	39	scenario1	1	0.1926
France	Wind onshore	40	scenario1	1	0.1783
France	Wind onshore	41	scenario1	1	0.1399
France	Wind onshore	42	scenario1	1	0.2042
France	Wind onshore	43	scenario1	1	0.2544
France	Wind onshore	44	scenario1	1	0.2701
France	Wind onshore	45	scenario1	1	0.2768
France	Wind onshore	46	scenario1	1	0.2811
France	Wind onshore	47	scenario1	1	0.2854
France	Wind onshore	48	scenario1	1	0.2907
Germany	Wind offshore	25	scenario1	1	0.4368
Germany	Wind offshore	26	scenario1	1	0.4815
Germany	Wind offshore	27	scenario1	1	0.518
Germany	Wind offshore	28	scenario1	1	0.5472
Germany	Wind offshore	29	scenario1	1	0.5676
Germany	Wind offshore	30	scenario1	1	0.5626
Germany	Wind offshore	31	scenario1	1	0.5288
Germany	Wind offshore	32	scenario1	1	0.4823
Germany	Wind offshore	33	scenario1	1	0.4176
Germany	Wind offshore	34	scenario1	1	0.3383
Germany	Wind offshore	35	scenario1	1	0.2699
Germany	Wind offshore	36	scenario1	1	0.2383
Germany	Wind offshore	37	scenario1	1	0.257
Germany	Wind offshore	38	scenario1	1	0.3064
Germany	Wind offshore	39	scenario1	1	0.3468
Germany	Wind offshore	40	scenario1	1	0.3705
Germany	Wind offshore	41	scenario1	1	0.414
Germany	Wind offshore	42	scenario1	1	0.4705
Germany	Wind offshore	43	scenario1	1	0.4914
Germany	Wind offshore	44	scenario1	1	0.4553
Germany	Wind offshore	45	scenario1	1	0.3858
Germany	Wind offshore	46	scenario1	1	0.3099
Germany	Wind offshore	47	scenario1	1	0.2474
Germany	Wind offshore	48	scenario1	1	0.2057
Denmark	Wind offshore	25	scenario1	1	0.3179
Denmark	Wind offshore	26	scenario1	1	0.34
Denmark	Wind offshore	27	scenario1	1	0.3649
Denmark	Wind offshore	28	scenario1	1	0.3897
Denmark	Wind offshore	29	scenario1	1	0.4215
Denmark	Wind offshore	30	scenario1	1	0.4356
Denmark	Wind offshore	31	scenario1	1	0.419
Denmark	Wind offshore	32	scenario1	1	0.3779
Denmark	Wind offshore	33	scenario1	1	0.3451
Denmark	Wind offshore	34	scenario1	1	0.3331
Denmark	Wind offshore	35	scenario1	1	0.3788
Denmark	Wind offshore	36	scenario1	1	0.4562
Denmark	Wind offshore	37	scenario1	1	0.4705
Denmark	Wind offshore	38	scenario1	1	0.4472
Denmark	Wind offshore	39	scenario1	1	0.4234
Denmark	Wind offshore	40	scenario1	1	0.4024
Denmark	Wind offshore	41	scenario1	1	0.3681
Denmark	Wind offshore	42	scenario1	1	0.3238
Denmark	Wind offshore	43	scenario1	1	0.2843
Denmark	Wind offshore	44	scenario1	1	0.2463
Denmark	Wind offshore	45	scenario1	1	0.215
Denmark	Wind offshore	46	scenario1	1	0.1913
Denmark	Wind offshore	47	scenario1	1	0.183
Denmark	Wind offshore	48	scenario1	1	0.1861
France	Wind offshore	25	scenario1	1	0.152
France	Wind offshore	26	scenario1	1	0.1672
France	Wind offshore	27	scenario1	1	0.2065
France	Wind offshore	28	scenario1	1	0.2467
France	Wind offshore	29	scenario1	1	0.3542
France	Wind offshore	30	scenario1	1	0.5322
France	Wind offshore	31	scenario1	1	0.6366
France	Wind offshore	32	scenario1	1	0.6417
France	Wind offshore	33	scenario1	1	0.6275
France	Wind offshore	34	scenario1	1	0.6129
France	Wind offshore	35	scenario1	1	0.5789
France	Wind offshore	36	scenario1	1	0.5565
France	Wind offshore	37	scenario1	1	0.5494
France	Wind offshore	38	scenario1	1	0.5365
France	Wind offshore	39	scenario1	1	0.5207
France	Wind offshore	40	scenario1	1	0.4902
France	Wind offshore	41	scenario1	1	0.2958
France	Wind offshore	42	scenario1	1	0.2337
France	Wind offshore	43	scenario1	1	0.3626
France	Wind offshore	44	scenario1	1	0.3584
France	Wind offshore	45	scenario1	1	0.3542
France	Wind offshore	46	scenario1	1	0.3697
France	Wind offshore	47	scenario1	1	0.3983
France	Wind offshore	48	scenario1	1	0.4405
Germany	Hydro run-of-the-river	25	scenario1	1	0.504861132
Germany	Hydro run-of-the-river	26	scenario1	1	0.50529271
Germany	Hydro run-of-the-river	27	scenario1	1	0.502280386
Germany	Hydro run-of-the-river	28	scenario1	1	0.495313242
Germany	Hydro run-of-the-river	29	scenario1	1	0.495640195
Germany	Hydro run-of-the-river	30	scenario1	1	0.49410221
Germany	Hydro run-of-the-river	31	scenario1	1	0.493043755
Germany	Hydro run-of-the-river	32	scenario1	1	0.491108195
Germany	Hydro run-of-the-river	33	scenario1	1	0.496257482
Germany	Hydro run-of-the-river	34	scenario1	1	0.499439821
Germany	Hydro run-of-the-river	35	scenario1	1	0.503115641
Germany	Hydro run-of-the-river	36	scenario1	1	0.503684103
Germany	Hydro run-of-the-river	37	scenario1	1	0.500905441
Germany	Hydro run-of-the-river	38	scenario1	1	0.503826218
Germany	Hydro run-of-the-river	39	scenario1	1	0.504737326
Germany	Hydro run-of-the-river	40	scenario1	1	0.507646769
Germany	Hydro run-of-the-river	41	scenario1	1	0.511807351
Germany	Hydro run-of-the-river	42	scenario1	1	0.512558906
Germany	Hydro run-of-the-river	43	scenario1	1	0.522595917
Germany	Hydro run-of-the-river	44	scenario1	1	0.528811505
Germany	Hydro run-of-the-river	45	scenario1	1	0.531292858
Germany	Hydro run-of-the-river	46	scenario1	1	0.533773339
Germany	Hydro run-of-the-river	47	scenario1	1	0.540997685
Germany	Hydro run-of-the-river	48	scenario1	1	0.541599278
Denmark	Hydro run-of-the-river	25	scenario1	1	0.4
Denmark	Hydro run-of-the-river	26	scenario1	1	0.4
Denmark	Hydro run-of-the-river	27	scenario1	1	0.4
Denmark	Hydro run-of-the-river	28	scenario1	1	0.4
Denmark	Hydro run-of-the-river	29	scenario1	1	0.4
Denmark	Hydro run-of-the-river	30	scenario1	1	0.4
Denmark	Hydro run-of-the-river	31	scenario1	1	0.4
Denmark	Hydro run-of-the-river	32	scenario1	1	0.4
Denmark	Hydro run-of-the-river	33	scenario1	1	0.4
Denmark	Hydro run-of-the-river	34	scenario1	1	0.4
Denmark	Hydro run-of-the-river	35	scenario1	1	0.4
Denmark	Hydro run-of-the-river	36	scenario1	1	0.4
Denmark	Hydro run-of-the-river	37	scenario1	1	0.4
Denmark	Hydro run-of-the-river	38	scenario1	1	0.4
Denmark	Hydro run-of-the-river	39	scenario1	1	0.4
Denmark	Hydro run-of-the-river	40	scenario1	1	0.4
Denmark	Hydro run-of-the-river	41	scenario1	1	0.4
Denmark	Hydro run-of-the-river	42	scenario1	1	0.4
Denmark	Hydro run-of-the-river	43	scenario1	1	0.4
Denmark	Hydro run-of-the-river	44	scenario1	1	0.4
Denmark	Hydro run-of-the-river	45	scenario1	1	0.4
Denmark	Hydro run-of-the-river	46	scenario1	1	0.4
Denmark	Hydro run-of-the-river	47	scenario1	1	0.4
Denmark	Hydro run-of-the-river	48	scenario1	1	0.4
France	Hydro run-of-the-river	25	scenario1	1	0.413394066
France	Hydro run-of-the-river	26	scenario1	1	0.431244614
France	Hydro run-of-the-river	27	scenario1	1	0.474701465
France	Hydro run-of-the-river	28	scenario1	1	0.503385449
