InterconnectorLinks,ToNode,Period,col3,InitialCap,Potential_expansion_(2030),Exponential_growth,Exp._Incl._Cap,Lowest,Highest,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
EastAnglia,Norfolk,4,2,0.0,0.0,0.0,0.0,0.0,0.0,Latvia,Estonia,6,700,,,,,,,,,,
EastAnglia,Norfolk,5,2,0.0,0.0,0.0,0.0,0.0,0.0,Latvia,Estonia,7,700,,,,,,,,,,
EastAnglia,Norfolk,6,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Finland,1,0,,,,,,,,,,
EastAnglia,Norfolk,7,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Finland,2,800,,,,,,,,,,
EastAnglia,Norfolk,8,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Finland,3,800,,,,,,,,,,
EastAnglia,OuterDowsing,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Finland,4,800,,,,,,,,,,
EastAnglia,OuterDowsing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Finland,5,800,,,,,,,,,,
EastAnglia,OuterDowsing,3,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Finland,6,800,,,,,,,,,,
EastAnglia,OuterDowsing,4,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Finland,7,800,,,,,,,,,,
EastAnglia,OuterDowsing,5,2,0.0,0.0,0.0,0.0,0.0,0.0,NO4,NO3,1,0,,,,,,,,,,
EastAnglia,OuterDowsing,6,2,0.0,0.0,0.0,0.0,0.0,0.0,NO4,NO3,2,1200,,,,,,,,,,
EastAnglia,OuterDowsing,7,2,0.0,0.0,0.0,0.0,0.0,0.0,NO4,NO3,3,1200,,,,,,,,,,
EastAnglia,OuterDowsing,8,2,0.0,0.0,0.0,0.0,0.0,0.0,NO4,NO3,4,1200,,,,,,,,,,
EnergyhubEU,Belgium,1,0,0.0,0.0,0.0,0.0,0.0,0.0,NO4,NO3,5,1200,,,,,,,,,,
EnergyhubEU,Belgium,2,0,0.0,0.0,1400.0,1400.0,560.0,2800.0,NO4,NO3,6,1200,,,,,,,,,,
EnergyhubEU,Belgium,3,0,0.0,0.0,2800.0,2800.0,1461.8856000000003,6300.0,NO4,NO3,7,1200,,,,,,,,,,
EnergyhubEU,Belgium,4,0,0.0,0.0,4200.0,4200.0,2914.381377656001,9800.0,,,,,,,,,,,,,,
EnergyhubEU,Belgium,5,0,0.0,0.0,5600.0,5600.0,5253.640352528768,9800.0,,,,,,,,,,,,,,
EnergyhubEU,Belgium,6,0,0.0,0.0,7000.0,9021.040324151109,9021.040324151109,9800.0,,,,,,,,,,,,,,
EnergyhubEU,Belgium,7,0,0.0,0.0,8400.0,9800.0,9800.0,9800.0,,,,,,,,,,,,,,
EnergyhubEU,Belgium,8,0,0.0,0.0,9800.0,9800.0,9800.0,9800.0,,,,,,,,,,,,,,
EnergyhubEU,Borssele,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
