Table,Key,Value,Reason
Industry/CementInitialCapacity.csv,Slovakia|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Slovakia|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Slovenia|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Slovenia|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Spain|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Spain|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Sweden|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Sweden|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Switzerland|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Switzerland|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,GreatBrit.|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,GreatBrit.|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Germany|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Poland|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Netherlands|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Romania|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,France|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Lithuania|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Bulgaria|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,GreatBrit.|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Belgium|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Spain|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Italy|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Austria|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Slovakia|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Hungary|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,CzechR|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Estonia|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Greece|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Croatia|NG-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Croatia|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,NO5|NG-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,NO5|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Finland|NG-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/AmmoniaInitialCapacity.csv,Finland|H2-Ammonia,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-BioCarbon|1,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-BioCarbon|2,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-BioCarbon|3,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-BioCarbon|4,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-BioCarbon|5,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-BioCarbon|6,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,BF-BOF-BioCarbon|7,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,H2-DRI|1,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,H2-DRI|2,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,H2-DRI|3,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,H2-DRI|4,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,H2-DRI|5,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,H2-DRI|6,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,H2-DRI|7,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,Scrap|1,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelScaleFactorInitialCap.csv,Scrap|2,0.0,InternalEMPIRE Pyomo Param default for absent source key
