Nodes,Period,col2,col3,Power,col5,col6,Electricity_[TWh],col8,Heating_(inflexible_=_x%),Industry_(100%),Transport_(inflexible_=_y%)
GreatBrit.,5,,,,,,,,45659560.18438875,148767626.31034788,128297927.8243753
Greece,5,,,,,,,,4785884.285425265,16203174.306175282,18310106.68698557
Croatia,5,,,,,,,,1945965.7366742077,7139170.901004225,5866812.155136223
Hungary,5,,,,,,,,7705454.380490754,20202424.41442676,17537955.79640514
Ireland,5,,,,,,,,2919811.4693664173,15400433.086270673,8871888.389371373
Italy,5,,,,,,,,55095911.5225501,186566585.6166079,96928042.3680405
Lithuania,5,,,,,,,,1866431.8515618448,7412621.426253031,14665160.19813437
Luxemb.,5,,,,,,,,925556.7580492874,4933564.822172747,2808061.239226662
Latvia,5,,,,,,,,2928698.869959198,3507304.945344243,4589712.322756139
Macedonia,5,,,,,,,,672571.5386324283,3138218.207779561,3546287.23395175
Netherlands,5,,,,,,,,15274557.92628101,80895069.85408957,35718108.30425793
NO1,5,,,,,,,,6508069.733141912,15682593.56488284,5713936.9080367265
NO2,5,,,,,,,,4647602.115296193,11941535.78368269,4350886.335906617
NO3,5,,,,,,,,2827241.3052786207,7608071.837779466,2771993.1842286233
NO4,5,,,,,,,,2188495.136448412,5746767.855331929,2093828.9840036095
NO5,5,,,,,,,,1952637.3922215293,5080200.344132122,1850965.793793067
Poland,5,,,,,,,,29119247.084671568,103250498.84930702,83888350.68140222
Portugal,5,,,,,,,,3297332.973574642,24034966.61204595,23052850.40586514
Romania,5,,,,,,,,9798265.713009233,28718877.239758052,30945617.61378736
Serbia,5,,,,,,,,1030010.3735750866,12526974.061440336,10294389.181858143
Sweden,5,,,,,,,,18656003.63887859,67256518.60834453,27910144.85349352
Slovenia,5,,,,,,,,1312495.7332565617,8862237.688209392,6528874.969650469
Slovakia,5,,,,,,,,3001955.1361395977,21924353.918081995,11646512.48386026
Austria,6,,,,,,,,7572035.602672888,68606195.90315373,23082485.93868821
BosniaH,6,,,,,,,,2609390.654175977,7237669.369280624,5957453.650518223
Belgium,6,,,,,,,,10373169.582214002,90214041.45782927,27569328.11748993
Bulgaria,6,,,,,,,,6271606.105039288,18404600.825603854,12353840.28025984
